Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,0,4.47,Scholastic Inc,Hardcover,309,2003,1997,12/14/22,12/1/22,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,076790818X,9780767908184,5,4.21,Crown Publishing Group (NY),Paperback,544,2004,2003,1/23/15,11/6/14,favorites,favorites (#8),read,,,,1,0
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,"Bryson, Bill",,0380715430,9780380715435,0,3.91,William Morrow Paperbacks,Paperback,270,1991,1990,,8/19/16,to-read,to-read (#229),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,,,0,4.1,Harper,Mass Market Paperback,417,2003,1967,,9/3/22,to-read,to-read (#454),to-read,,,,0,0
327,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,"Sapolsky, Robert M.",,0805073698,9780805073690,0,4.19,Holt Paperbacks,Paperback,560,2004,1993,,11/14/17,currently-reading,currently-reading (#12),currently-reading,,,,1,0
413,Mason & Dixon,Thomas Pynchon,"Pynchon, Thomas",,0312423209,9780312423209,0,4.1,Picador USA,Paperback,773,2004,1997,,6/30/15,to-read,to-read (#171),to-read,,,,0,0
428,Play It As It Lays,Joan Didion,"Didion, Joan",David  Thomson,0374529949,9780374529949,0,3.91,"Farrar, Straus and Giroux",Paperback,231,2005,1970,,12/8/14,to-read,to-read (#150),to-read,,,,0,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,4,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,,2/21/14,,,read,,,,1,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,,,0,4.24,Avon,Mass Market Paperback,1152,2002,1999,,3/11/20,to-read,to-read (#314),to-read,,,,0,0
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,0465067107,9780465067107,0,4.16,Basic Books,Paperback,240,2002,1988,,4/14/16,to-read,to-read (#207),to-read,,,,0,0
