,ISBN13,Title,Author,Date Started,Date Read,Year Read,Finished,title,authors,publisher,publishedDate,description,industryIdentifiers,readingModes,pageCount,printType,categories,maturityRating,allowAnonLogging,contentVersion,panelizationSummary,imageLinks,language,previewLink,infoLink,canonicalVolumeLink,subtitle,averageRating,ratingsCount,ISBN_13,ISBN_10,OTHER,smallThumbnail,thumbnail
254,9780393077827,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V.S. Ramachandran,2015-12-11,2016-01-05,2016,True,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,['V. S. Ramachandran'],W. W. Norton & Company,2011,"Ramachandran -- the ""Marco Polo of neuroscience""-- reveals what baffling and extreme case studies can teach us about normal brain function and how it evolved. Among the topics he discusses are synesthesia as a window to creativity and autism as a springboard to understanding self-awareness.","[{'type': 'ISBN_13', 'identifier': '9780393077827'}, {'type': 'ISBN_10', 'identifier': '0393077829'}]","{'text': False, 'image': False}",384.0,BOOK,['Medical'],NOT_MATURE,False,1.2.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=gFwnAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=gFwnAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.com/books?id=gFwnAgAAQBAJ&printsec=frontcover&dq=isbn:9780393077827&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=gFwnAgAAQBAJ&dq=isbn:9780393077827&hl=&source=gbs_api,https://books.google.com/books/about/The_Tell_Tale_Brain_A_Neuroscientist_s_Q.html?hl=&id=gFwnAgAAQBAJ,,,,9780393077827,0393077829,,http://books.google.com/books/content?id=gFwnAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=gFwnAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
256,9780307408846,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,2016-01-05,2016-01-21,2016,True,In the Garden of Beasts,['Erik Larson'],Crown,2011-05-10,"“Larson is a marvelous writer...superb at creating characters with a few short strokes.”—New York Times Book Review Erik Larson has been widely acclaimed as a master of narrative non-fiction, and in his new book, the bestselling author of Devil in the White City turns his hand to a remarkable story set during Hitler’s rise to power. The time is 1933, the place, Berlin, when William E. Dodd becomes America’s first ambassador to Hitler’s Germany in a year that proved to be a turning point in history. A mild-mannered professor from Chicago, Dodd brings along his wife, son, and flamboyant daughter, Martha. At first Martha is entranced by the parties and pomp, and the handsome young men of the Third Reich with their infectious enthusiasm for restoring Germany to a position of world prominence. Enamored of the “New Germany,” she has one affair after another, including with the suprisingly honorable first chief of the Gestapo, Rudolf Diels. But as evidence of Jewish persecution mounts, confirmed by chilling first-person testimony, her father telegraphs his concerns to a largely indifferent State Department back home. Dodd watches with alarm as Jews are attacked, the press is censored, and drafts of frightening new laws begin to circulate. As that first year unfolds and the shadows deepen, the Dodds experience days full of excitement, intrigue, romance—and ultimately, horror, when a climactic spasm of violence and murder reveals Hitler’s true character and ruthless ambition. Suffused with the tense atmosphere of the period, and with unforgettable portraits of the bizarre Göring and the expectedly charming--yet wholly sinister--Goebbels, In the Garden of Beasts lends a stunning, eyewitness perspective on events as they unfold in real time, revealing an era of surprising nuance and complexity. The result is a dazzling, addictively readable work that speaks volumes about why the world did not recognize the grave threat posed by Hitler until Berlin, and Europe, were awash in blood and terror.","[{'type': 'ISBN_13', 'identifier': '9780307408846'}, {'type': 'ISBN_10', 'identifier': '0307408841'}]","{'text': False, 'image': False}",465.0,BOOK,['History'],NOT_MATURE,False,0.5.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=rV-ODQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=rV-ODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.com/books?id=rV-ODQAAQBAJ&printsec=frontcover&dq=isbn:9780307408846&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=rV-ODQAAQBAJ&dq=isbn:9780307408846&hl=&source=gbs_api,https://books.google.com/books/about/In_the_Garden_of_Beasts.html?hl=&id=rV-ODQAAQBAJ,"Love, Terror, and an American Family in Hitler's Berlin",,,9780307408846,0307408841,,http://books.google.com/books/content?id=rV-ODQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=rV-ODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
263,9780142003343,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,2016-01-23,2016-02-05,2016,True,The Blank Slate,['Steven Pinker'],Penguin,2003-08-26,"A brilliant inquiry into the origins of human nature from the author of Rationality, The Better Angels of Our Nature, and Enlightenment Now. ""Sweeping, erudite, sharply argued, and fun to read..also highly persuasive."" --Time Finalist for the Pulitzer Prize Updated with a new afterword One of the world's leading experts on language and the mind explores the idea of human nature and its moral, emotional, and political colorings. With characteristic wit, lucidity, and insight, Pinker argues that the dogma that the mind has no innate traits-a doctrine held by many intellectuals during the past century-denies our common humanity and our individual preferences, replaces objective analyses of social problems with feel-good slogans, and distorts our understanding of politics, violence, parenting, and the arts. Injecting calm and rationality into debates that are notorious for ax-grinding and mud-slinging, Pinker shows the importance of an honest acknowledgment of human nature based on science and common sense.","[{'type': 'ISBN_10', 'identifier': '0142003344'}, {'type': 'ISBN_13', 'identifier': '9780142003343'}]","{'text': False, 'image': False}",532.0,BOOK,['Psychology'],NOT_MATURE,False,2.3.5.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.com/books?id=7rJ5gI1LbXoC&printsec=frontcover&dq=isbn:9780142003343&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=7rJ5gI1LbXoC&dq=isbn:9780142003343&hl=&source=gbs_api,https://books.google.com/books/about/The_Blank_Slate.html?hl=&id=7rJ5gI1LbXoC,The Modern Denial of Human Nature,4.5,8.0,9780142003343,0142003344,,http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
25,9780671728694,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,2016-02-08,2016-07-28,2016,True,Rise And Fall Of The Third Reich,['William L. Shirer'],Simon and Schuster,1990-11-15,The classic history of Adolph Hitler's rise to power and his dramatic defeat.,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105113680180'}]","{'text': False, 'image': False}",1326.0,BOOK,['History'],NOT_MATURE,False,1.11.2.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=79QiAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=79QiAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.com/books?id=79QiAQAAIAAJ&dq=isbn:9780671728694&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=79QiAQAAIAAJ&dq=isbn:9780671728694&hl=&source=gbs_api,https://books.google.com/books/about/Rise_And_Fall_Of_The_Third_Reich.html?hl=&id=79QiAQAAIAAJ,A History of Nazi Germany,,,,,STANFORD:36105113680180,http://books.google.com/books/content?id=79QiAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=79QiAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
18,9781429969352,"Thinking, Fast and Slow",Daniel Kahneman,2016-02-18,2016-03-22,2016,True,"Thinking, Fast and Slow",['Daniel Kahneman'],"Farrar, Straus and Giroux",2011-10-25,"*Major New York Times Bestseller *More than 2.6 million copies sold *One of The New York Times Book Review's ten best books of the year *Selected by The Wall Street Journal as one of the best nonfiction books of the year *Presidential Medal of Freedom Recipient *Daniel Kahneman's work with Amos Tversky is the subject of Michael Lewis's best-selling The Undoing Project: A Friendship That Changed Our Minds In his mega bestseller, Thinking, Fast and Slow, Daniel Kahneman, world-famous psychologist and winner of the Nobel Prize in Economics, takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. The impact of overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the profound effect of cognitive biases on everything from playing the stock market to planning our next vacation—each of these can be understood only by knowing how the two systems shape our judgments and decisions. Engaging the reader in a lively conversation about how we think, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives—and how we can use different techniques to guard against the mental glitches that often get us into trouble. Topping bestseller lists for almost ten years, Thinking, Fast and Slow is a contemporary classic, an essential book that has changed the lives of millions of readers.","[{'type': 'ISBN_13', 'identifier': '9781429969352'}, {'type': 'ISBN_10', 'identifier': '1429969350'}]","{'text': True, 'image': False}",511.0,BOOK,['Psychology'],NOT_MATURE,True,6.40.32.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=ZuKTvERuPG8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=ZuKTvERuPG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.com/books?id=ZuKTvERuPG8C&printsec=frontcover&dq=isbn:9781429969352&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=ZuKTvERuPG8C&source=gbs_api,https://play.google.com/store/books/details?id=ZuKTvERuPG8C,,4.0,35.0,9781429969352,1429969350,,http://books.google.com/books/content?id=ZuKTvERuPG8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ZuKTvERuPG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
262,9780804139021,The Martian,Andy Weir,2016-02-21,2016-02-22,2016,True,The Martian,['Andy Weir'],Ballantine Books,2014-02-11,"#1 NEW YORK TIMES BESTSELLER • “Brilliant . . . a celebration of human ingenuity [and] the purest example of real-science sci-fi for many years . . . utterly compelling.”—The Wall Street Journal The inspiration for the major motion picture Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there. After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills—and a relentless, dogged refusal to quit—he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him? NAMED ONE OF PASTE’S BEST NOVELS OF THE DECADE “A hugely entertaining novel [that] reads like a rocket ship afire . . . Weir has fashioned in Mark Watney one of the most appealing, funny, and resourceful characters in recent fiction.”—Chicago Tribune “As gripping as they come . . . You’ll be rooting for Watney the whole way, groaning at every setback and laughing at his pitchblack humor. Utterly nail-biting and memorable.”—Financial Times","[{'type': 'ISBN_13', 'identifier': '9780804139021'}, {'type': 'ISBN_10', 'identifier': '0804139024'}]","{'text': False, 'image': False}",385.0,BOOK,['Fiction'],NOT_MATURE,False,0.5.0.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=oGGMDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=oGGMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",en,http://books.google.com/books?id=oGGMDQAAQBAJ&printsec=frontcover&dq=isbn:9780804139021&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=oGGMDQAAQBAJ&dq=isbn:9780804139021&hl=&source=gbs_api,https://books.google.com/books/about/The_Martian.html?hl=&id=oGGMDQAAQBAJ,A Novel,,,9780804139021,0804139024,,http://books.google.com/books/content?id=oGGMDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=oGGMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
261,9781409114444,The Fifth Witness,Michael    Connelly,2016-05-20,2016-05-25,2016,True,The Fifth Witness,['Michael Connelly'],Hachette UK,2011-04-14,"A blistering courtroom drama featuring The Lincoln Lawyer's Mickey Haller from the master of the genre. In tough times, crime is one of the few things that still pays, but even criminals are having to make cutbacks. So for defence lawyer Mickey Haller, most of his new business is not about keeping people out of jail; it's about keeping a roof over their heads as the foreclosure business is booming. Lisa Trammel has been a client of Mickey's for eight months, and so far he's stopped the bank from taking her house. But now the bank's CEO has been found beaten to death - and Lisa is about to be indicted for murder . . .","[{'type': 'ISBN_13', 'identifier': '9781409114444'}, {'type': 'ISBN_10', 'identifier': '1409114449'}]","{'text': True, 'image': False}",372.0,BOOK,['Fiction'],NOT_MATURE,True,3.19.14.0.preview.2,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=9bRMDz4fCiUC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=9bRMDz4fCiUC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.com/books?id=9bRMDz4fCiUC&dq=isbn:9781409114444&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=9bRMDz4fCiUC&dq=isbn:9781409114444&hl=&source=gbs_api,https://books.google.com/books/about/The_Fifth_Witness.html?hl=&id=9bRMDz4fCiUC,The Bestselling Thriller Behind Netflix’s The Lincoln Lawyer Season 2,,,9781409114444,1409114449,,http://books.google.com/books/content?id=9bRMDz4fCiUC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=9bRMDz4fCiUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
260,9780465059997,Rise of the Robots: Technology and the Threat of a Jobless Future,Martin Ford,2016-06-27,2016-08-11,2016,True,Rise of the Robots,['Martin R. Ford'],,2015,A artificial-intelligence entrepreneur offers a stark warning about what we must do to keep an automated economy from being a massively unjust one.,"[{'type': 'ISBN_10', 'identifier': '0465059996'}, {'type': 'ISBN_13', 'identifier': '9780465059997'}]","{'text': False, 'image': False}",334.0,BOOK,['Business & Economics'],NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=vcbjjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=vcbjjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.com/books?id=vcbjjwEACAAJ&dq=isbn:9780465059997&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=vcbjjwEACAAJ&dq=isbn:9780465059997&hl=&source=gbs_api,https://books.google.com/books/about/Rise_of_the_Robots.html?hl=&id=vcbjjwEACAAJ,Technology and the Threat of a Jobless Future,,,9780465059997,0465059996,,http://books.google.com/books/content?id=vcbjjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=vcbjjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
259,9780670021253,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,2016-08-21,2016-09-19,2016,True,Too Big to Fail,['Andrew Ross Sorkin'],,2009,"Andrew Ross Sorkin's website Andrew Ross Sorkin's interview on Charlie Rose Watch a Video Andrew Ross Sorkin delivers the first true behind-the-scenes, moment-by-moment account of how the greatest financial crisis since the Great Depression developed into a global tsunami. From inside the corner office at Lehman Brothers to secret meetings in South Korea, and the corridors of Washington, Too Big to Fail is the definitive story of the most powerful men and women in finance and politics grappling with success and failure, ego and greed, and, ultimately, the fate of the world's economy. ""We've got to get some foam down on the runway!"" a sleepless Timothy Geithner, the then-president of the Federal Reserve of New York, would tell Henry M. Paulson, the Treasury secretary, about the catastrophic crash the world's financial system would experience. Through unprecedented access to the players involved, Too Big to Fail re-creates all the drama and turmoil, revealing neverdisclosed details and elucidating how decisions made on Wall Street over the past decade sowed the seeds of the debacle. This true story is not just a look at banks that were ""too big to fail,"" it is a real-life thriller with a cast of bold-faced names who themselves thought they were too big to fail.","[{'type': 'OTHER', 'identifier': 'UOM:39076002842636'}]","{'text': False, 'image': False}",648.0,BOOK,['Business & Economics'],NOT_MATURE,False,0.4.1.0.preview.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=oPgnAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=oPgnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.com/books?id=oPgnAQAAMAAJ&dq=isbn:9780670021253&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=oPgnAQAAMAAJ&dq=isbn:9780670021253&hl=&source=gbs_api,https://books.google.com/books/about/Too_Big_to_Fail.html?hl=&id=oPgnAQAAMAAJ,The Inside Story of how Wall Street and Washington Fought to Save the Financial System from Crisis--and Themselves,,,,,UOM:39076002842636,http://books.google.com/books/content?id=oPgnAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=oPgnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
257,9780804136693,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,2016-09-09,2016-09-27,2016,True,Superforecasting,"['Philip Eyrikson Tetlock', 'Dan Gardner']",Crown,2015,"The Good Judgment Project involves tens of thousands of ordinary people--including a Brooklyn filmmaker, a retired pipe installer, and a former ballroom dancer--who set out to forecast global events. Some of the volunteers have turned out to be astonishingly good. They've beaten other benchmarks, competitors, and prediction markets. They've even beaten the collective judgment of intelligence analysts with access to classified information. They are ""superforecasters."" In this groundbreaking and accessible book, Tetlock and Gardner show us how we can learn from this elite group. Weaving together stories of forecasting successes (the raid on Osama bin Laden's compound) and failures (the Bay of Pigs) and interviews with a range of high-level decision makers, from David Petraeus to Robert Rubin, they show that good forecasting doesn't require powerful computers or arcane methods.","[{'type': 'ISBN_10', 'identifier': '0804136696'}, {'type': 'ISBN_13', 'identifier': '9780804136693'}]","{'text': False, 'image': False}",352.0,BOOK,['BUSINESS & ECONOMICS'],NOT_MATURE,False,preview-1.0.0,"{'containsEpubBubbles': False, 'containsImageBubbles': False}","{'smallThumbnail': 'http://books.google.com/books/content?id=ICgWrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=ICgWrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",en,http://books.google.com/books?id=ICgWrgEACAAJ&dq=isbn:9780804136693&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=ICgWrgEACAAJ&dq=isbn:9780804136693&hl=&source=gbs_api,https://books.google.com/books/about/Superforecasting.html?hl=&id=ICgWrgEACAAJ,The Art and Science of Prediction,,,9780804136693,0804136696,,http://books.google.com/books/content?id=ICgWrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=ICgWrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
